antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NO2_HIGH'}),"frozenset({'PM10_HIGH', 'PM2.5_HIGH'})",0.38106500878497096,0.20746046763076093,0.1403230166238681,0.3682390494768576,1.7749841870223253,1.0,0.06126709170361799,1.2544927503242496,0.705429011875624,0.31307953260459853,0.202865062598784,0.5223117071488522
"frozenset({'PM10_HIGH', 'PM2.5_HIGH'})",frozenset({'NO2_HIGH'}),0.20746046763076093,0.38106500878497096,0.1403230166238681,0.6763843648208469,1.774984187022325,1.0,0.06126709170361799,1.912562076527568,0.5509058935682846,0.31307953260459853,0.4771411541236916,0.5223117071488522
"frozenset({'NO2_HIGH', 'O3_HIGH', 'PM2.5_HIGH'})",frozenset({'PM10_HIGH'}),0.15586565752128667,0.3944451952966617,0.10687255034464117,0.68567092998049,1.7383173585491332,1.0,0.04539209062361466,1.9264995269631036,0.5031557532470167,0.2410088387686681,0.4809238279043957,0.4783074540257084
frozenset({'PM10_HIGH'}),"frozenset({'NO2_HIGH', 'O3_HIGH', 'PM2.5_HIGH'})",0.3944451952966617,0.15586565752128667,0.10687255034464117,0.27094397807092685,1.738317358549133,1.0,0.04539209062361466,1.157845648466279,0.7013915959920889,0.2410088387686681,0.13632702137402036,0.4783074540257084
"frozenset({'NO2_HIGH', 'O3_HIGH'})",frozenset({'PM10_HIGH'}),0.2434112717934856,0.3944451952966617,0.16579943235572375,0.6811493614658524,1.7268542489243932,1.0,0.06978702571573352,1.8991801537147803,0.5563291076109237,0.35122754276716056,0.4734570082548469,0.5507425751992616
frozenset({'PM10_HIGH'}),"frozenset({'NO2_HIGH', 'O3_HIGH'})",0.3944451952966617,0.2434112717934856,0.16579943235572375,0.4203357889326709,1.726854248924393,1.0,0.06978702571573352,1.3052189763680877,0.6950854468041403,0.35122754276716056,0.23384503435384632,0.5507425751992616
"frozenset({'NO2_HIGH', 'PM10_HIGH'})",frozenset({'PM2.5_HIGH'}),0.23310582511150155,0.3513988376807677,0.1403230166238681,0.6019713001884331,1.713071403882391,1.0,0.05840990062307014,1.6295336558049467,0.5427778493464732,0.31591358588163704,0.38632749533115585,0.5006491116326781
frozenset({'PM2.5_HIGH'}),"frozenset({'NO2_HIGH', 'PM10_HIGH'})",0.3513988376807677,0.23310582511150155,0.1403230166238681,0.3993269230769231,1.713071403882391,1.0,0.05840990062307014,1.2767247348872073,0.6417706213074028,0.31591358588163704,0.2167458084938369,0.5006491116326781
frozenset({'O3_HIGH'}),"frozenset({'NO2_HIGH', 'PM10_HIGH', 'PM2.5_HIGH'})",0.4500270306798216,0.1403230166238681,0.10687255034464117,0.23748029131316167,1.6923830247301548,1.0,0.043723399837366575,1.1274160832598172,0.7438860359181216,0.22104968900691874,0.11301602412075355,0.49954919935270414
"frozenset({'NO2_HIGH', 'PM10_HIGH', 'PM2.5_HIGH'})",frozenset({'O3_HIGH'}),0.1403230166238681,0.4500270306798216,0.10687255034464117,0.7616181073922466,1.6923830247301546,1.0,0.043723399837366575,2.3071088298855567,0.47589643542975546,0.22104968900691874,0.5665570747914805,0.49954919935270414
